fact_event.subscription_id,fact_event.external_id,fact_event.ingested_time,fact_event.persisted_time,fact_event.vehicle_id,fact_event.lineage_code,fact_event.driver_id,fact_event.driver_orig_id,fact_event.event_id,fact_event.event_type,fact_event.start_seq,fact_event.end_seq,fact_event.start,fact_event.end_,fact_event.recorded,fact_event.start_odo,fact_event.end_odo,fact_event.odometer,fact_event.start_gps_id,fact_event.end_gps_id,fact_event.total_time,fact_event.total_occurs,fact_event.value,fact_event.litres,fact_event.f3prm,fact_event.f3value,
504,85267535,2017-06-29 04:10:00.0,2018-05-07 08:35:00.0,804,2,0,0,-95,2,29398512,0,2017-06-15 09:00:00.0,1753-01-01 00:00:00.0,2017-06-15 09:00:56.6,0,0,0,1891300574,0,0,1,10,0,0,0,
1452,21,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,2,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,21,161450991,537,1,0,0,0,0,
1100,15121276,2017-06-18 11:00:00.0,2018-05-07 07:02:00.0,195,2,13922,0,-31,0,8219003,8219005,2017-06-13 04:52:00.0,2017-06-13 04:52:00.0,2017-06-13 04:52:52.5,0,0,0,319074516,319074517,3,1,24,0,0,0,
1452,22,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,2,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,22,161450991,537,1,0,0,0,0,
1452,231,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,2,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,231,161450991,537,1,100,0,0,0,
1452,232,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,2,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,232,161450991,537,1,65,0,0,0,
1452,24,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,2,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,24,161450991,537,1,4,0,0,0,
1452,25,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,2,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,25,161450991,537,1,4,0,0,0,
1452,31,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,3,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,31,161450991,537,1,0,0,0,0,
1452,32,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,3,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,32,161450991,537,1,0,0,0,0,
1452,331,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,3,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,331,161450991,537,1,100,0,0,0,
1452,332,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,3,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,332,161450991,537,1,65,0,0,0,
1452,34,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,3,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,34,161450991,537,1,4,0,0,0,
1452,35,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,3,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,35,161450991,537,1,4,0,0,0,
1452,41,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,4,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,41,161450991,537,1,36,0,0,0,
1452,42,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,4,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,42,161450991,537,1,35,0,0,0,
1452,51,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,5,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,51,161450991,537,1,21,0,0,0,
1452,52,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,5,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,52,161450991,537,1,20,0,0,0,
1452,53,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,5,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,53,161450991,537,1,20,0,0,0,
1452,11,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,11,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,11,161450991,537,1,20,0,0,0,
1452,12,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,12,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,12,161450991,537,1,30,0,0,0,
1452,13,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,13,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.4,0,0,0,13,161450991,537,1,40,0,0,0,
